year,source id,target id
2002,209255,8560839
2002,205106,6255854
2002,212282,2447140
2002,209241,4171994
2003,301161,9207016
2002,202022,9705036
2002,212061,4021502
2002,205306,4870136
2002,206243,286390
2002,112112,105316
2002,112212,3253
2002,202179,5849378
2003,302130,211208
2002,208165,4596147
2002,111208,895629
2002,203057,9807080
2002,201210,8487608
2002,210080,7989016
2002,203160,202024
2002,211140,1405298
2002,211097,3063
2002,206052,9404063
2002,207015,8920435
2002,205213,202179
2002,201257,1568837
2003,302104,210102
2002,206248,206059
2002,112214,111281
2003,301120,8015
2002,210006,112019
2003,303082,4195066
2002,206214,9909007
2002,202064,108245
2003,302027,208074
2002,211005,2554175
2002,211116,9484249
2003,301037,1253399
2003,304053,6186
2002,203064,108205
2002,209064,4102836
2002,212278,1697992
2002,209076,8309300
2002,207245,7370270
2002,206251,111256
2003,304208,201112
2002,112187,11023
2002,206103,9802150
2002,211259,1977744
2002,204100,2537257
2002,207209,9704080
2002,211108,1907170
2003,303197,302105
2002,204051,2241813
2002,202140,106100
2002,209167,9209058
2002,206209,1416897
2002,207156,203265
2002,210145,9402093
2002,206164,9910181
2002,203057,5892096
2002,201017,9803132
2002,207116,106153
2003,304046,9811017
2002,203266,4895862
2002,211232,9510017
2003,301250,269082
2003,211162,3093439
2002,202131,1921817
2002,212142,109183
2003,302126,4962372
2003,212281,2093284
2002,207234,201221
2003,303205,9903066
2003,301012,6301554
2002,202151,8487120
2002,208227,6300431
2002,204112,202193
2002,208042,4011
2002,208225,892136
2002,206010,7545432
2002,210262,9705040
2002,207251,8983384
2002,206192,8525859
2002,209079,108061
2002,112214,8765183
2003,302187,3910332
2002,206247,3286
2002,206127,6603135
2002,212120,9403045
2002,112113,4048553
2002,206103,8748151
2002,206096,9409089
2002,207046,9710062
2002,206242,10223
2002,204112,5509895
2002,211058,9036849
2002,201159,9212999
2003,301215,2620089
2002,206247,8772037
2003,301165,209133
2002,210228,4004604
2002,208083,9907019
2002,206060,101145
2002,202101,9804124
2003,303115,7766258
2003,301104,5420117
2002,211180,105204
2002,108010,5110920
2002,203272,9407025
2003,303035,1913451
2002,208219,1133
2002,208079,1179421
2002,203101,3147
2002,211245,5106960
2002,112006,9805191
2003,303203,2459712
2003,301091,5673178
2003,201149,3452727
2002,209053,9503230
2002,211135,6432047
2003,302075,3607004
2002,210218,5198933
2003,301048,9807082
2002,205315,204156
2002,207201,6926767
2003,301110,9806049
2002,211122,208092
2003,211193,9777952
2002,207031,8656146
2003,301164,4460820
2002,209070,6179
2003,211141,4747929
2002,205070,5892920
2003,304142,4560928
2002,202167,6780630
2002,201253,3116
2002,211031,107228
2003,302165,2434266
